iter	MAE
0	0.7529588729
1	0.7436467826
2	0.7356864193
3	0.7280967122
4	0.7214120586
5	0.7150980274
6	0.709329545
7	0.7035555892
8	0.6984712986
9	0.6937725838
10	0.6895661359
11	0.6861513064
12	0.6825095234
13	0.6790328472
14	0.6758030438
15	0.6731225388
16	0.6707628923
17	0.6686140835
18	0.6661860965
19	0.6641243951
20	0.6620515408
21	0.6602868011
22	0.6586008014
23	0.6568180031
24	0.6550459305
25	0.65343123
26	0.6517833357
27	0.6503113177
28	0.6487235764
29	0.6478578365
30	0.6468728421
31	0.6456397681
32	0.6447653286
33	0.6440167694
34	0.6430177013
35	0.6423770182
36	0.6415118582
37	0.6407739306
38	0.6400069911
39	0.6393850046
40	0.6388282394
41	0.6382080935
42	0.6377428948
43	0.6371604108
44	0.6367082502
45	0.6360556257
46	0.6355863396
47	0.6351729735
48	0.6347347629
49	0.6342721152
50	0.6339233633
51	0.6335472107
52	0.6331225175
53	0.6326494123
54	0.63230091
55	0.6319600709
56	0.631409843
57	0.6310500121
58	0.6306921434
59	0.6303780847
60	0.630110727
61	0.6298569327
62	0.6296245573
63	0.6293092565
64	0.6290403516
65	0.6288225238
66	0.6285913112
67	0.628380432
68	0.6280213237
69	0.6277701198
70	0.6275017304
71	0.6273661625
72	0.6269833296
73	0.6268109751
74	0.626609798
75	0.6263760032
76	0.6261534493
77	0.625893299
78	0.6255214341
79	0.6252800337
80	0.6251342326
81	0.6249760388
82	0.6248080433
83	0.6245892614
84	0.6243405958
85	0.6240689716
86	0.6238790937
87	0.6236793383
88	0.6234298177
89	0.623306992
90	0.623101883
91	0.6229480158
92	0.6228018817
93	0.6226050184
94	0.6224263053
95	0.6222926243
96	0.6221509397
97	0.6220026005
98	0.6218539382
99	0.6216824462
100	0.6214465697
101	0.6212912255
102	0.6210789848
103	0.6208588636
104	0.6205090365
105	0.6203499837
106	0.6201545119
107	0.6200038456
108	0.6198467937
109	0.6196383107
110	0.6195155599
111	0.6193301909
112	0.6191619504
113	0.618940626
114	0.6187737248
115	0.618608358
116	0.6184670553
117	0.6183067561
118	0.6179918941
119	0.6178220878
120	0.6175939173
121	0.6174211553
122	0.6172124431
123	0.617003913
124	0.6168428171
125	0.6165993203
126	0.6164348174
127	0.6161843882
128	0.6159784463
129	0.6157767745
130	0.6155898031
131	0.6154314973
132	0.6153036764
133	0.6151024892
134	0.6149437074
135	0.6147518986
136	0.6146327327
137	0.6144409167
138	0.6142534265
139	0.6141010384
140	0.6139280265
141	0.6137118685
142	0.6135695642
143	0.6134121959
144	0.6132663788
145	0.6131343476
146	0.6128895924
147	0.6126830784
148	0.6124858206
149	0.6123339994
150	0.6121181365
151	0.6119762721
152	0.6117757083
153	0.6116501291
154	0.611466633
155	0.6113030685
156	0.6111502078
157	0.61097137
158	0.6108596891
159	0.6107340456
160	0.6105468326
161	0.6103730112
162	0.6102213212
163	0.6101199952
164	0.6099304024
165	0.6097346286
166	0.6095340823
167	0.6093580186
168	0.6092053121
169	0.6088622423
170	0.6086626029
171	0.608534896
172	0.6083815961
173	0.608179566
174	0.6079774076
175	0.6078020039
176	0.6076259255
177	0.607432329
178	0.6072737662
179	0.6071037552
180	0.606976635
181	0.6068278956
182	0.6066469853
183	0.6064404034
184	0.6063351772
185	0.6062077444
186	0.6060747874
187	0.6058835098
188	0.6056991335
